code,description,category
8321,Motorcycle drivers,H
8322,"Car, taxi and van drivers",H
8330,Heavy truck and bus drivers,H
8331,Bus and tram drivers,H
8332,Heavy truck and lorry drivers,H
8340,Mobile plant operators,H
8341,Mobile farm and forestry plant operators,H
8342,Earthmoving and related plant operators,H
8343,"Crane, hoist and related plant operators",H
8344,Lifting truck operators,H
8350,Ships deck crews and related workers,H
9000,Elementary occupations,I
9100,Cleaners and helpers,I
9110,"Domestic, hotel and office cleaners and helpers",I
9111,Domestic cleaners and helpers,I
9112,"Cleaners and helpers in offices, hotels and other establishments",I
9120,"Vehicle, window, laundry and other hand cleaning workers",I
9121,Hand launderers and pressers,I
9122,Vehicle cleaners,I
9123,Window cleaners,I
9129,Other cleaning workers,I
9200,"Agricultural, forestry and fishery labourers",I
9210,"Agricultural, forestry and fishery labourers",I
9211,Crop farm labourers,I
9212,Livestock farm labourers,I
9213,Mixed crop and livestock farm labourers,I
9214,Garden and horticultural labourers,I
9215,Forestry labourers,I
9216,Fishery and aquaculture labourers,I
9300,"Labourers in mining, construction, manufacturing and transport",I
9310,Mining and construction labourers,I
9311,Mining and quarrying labourers,I
9312,Civil engineering labourers,I
9313,Building construction labourers,I
9320,Manufacturing labourers,I
9321,Hand packers,I
9329,Manufacturing labourers not elsewhere classified,I
9330,Transport and storage labourers,I
9331,Hand and pedal vehicle drivers,I
9332,Drivers of animal-drawn vehicles and machinery,I
9333,Freight handlers,I
9334,Shelf fillers,I
9400,Food preparation assistants,I
9410,Food preparation assistants,I
9411,Fast food preparers,I
9412,Kitchen helpers,I
9500,Street and related sales and service workers,I
9510,Street and related service workers,I
9520,Street vendors (excluding food),I
9600,Refuse workers and other elementary workers,I
9610,Refuse workers,I
9611,Garbage and recycling collectors,I
9612,Refuse sorters,I
9613,Sweepers and related labourers,I
9620,Other elementary workers,I
9621,"Messengers, package deliverers and luggage porters",I
9622,Odd job persons,I
9623,Meter readers and vending-machine collectors,I
9624,Water and firewood collectors,I
9629,Elementary workers not elsewhere classified,I
9701,Housewife,J
9702,Student,I
9703,"Social beneficiary (unemployed, retired, sickness, etc.)",J
9704,Do not know,M
9705,"Vague(a good job, a quiet job, a well paid job, an office job)",D
9997,Not applicable,M
9998,Invalid,M
9999,Missing,M
